PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	de Mattos, Igor Medici; Soares, Ademilson E. E.; Tarpy, David R.								Mitigating effects of pollen during paraquat exposure on gene expression and pathogen prevalence in Apis mellifera L								ECOTOXICOLOGY				27	1			32	44		10.1007/s10646-017-1868-2			JAN 2018	2018										0							WOS:000419679500005		
J	Li, Wenfeng; Evans, Jay D.; Li, Jianghong; Su, Songkun; Hamilton, Michele; Chen, Yanping								Spore load and immune response of honey bees naturally infected by Nosema ceranae								PARASITOLOGY RESEARCH				116	12			3265	3274		10.1007/s00436-017-5630-8			DEC 2017	2017										1							WOS:000415696100002		
J	Tesovnik, Tanja; Cizelj, Ivanka; Zorc, Minja; Citar, Manuela; Bozic, Janko; Glavan, Gordana; Narat, Mojca								Immune related gene expression in worker honey bee (Apis mellifera carnica) pupae exposed to neonicotinoid thiamethoxam and Varroa mites (Varroa destructor)								PLOS ONE				12	10					e0187079	10.1371/journal.pone.0187079			OCT 31 2017	2017										1							WOS:000414088900039		
J	Steffan, Shawn A.; Dharampal, Prarthana S.; Diaz-Garcia, Luis; Currie, Cameron R.; Zalapa, Juan; Hittinger, Chris Todd								Empirical, Metagenomic, and Computational Techniques Illuminate the Mechanisms by which Fungicides Compromise Bee Health								JOVE-JOURNAL OF VISUALIZED EXPERIMENTS					128					e54631	10.3791/54631			OCT 2017	2017										1							WOS:000415371500002		
J	Nai, Yu-Shin; Chen, Tsui-Yao; Chen, Yi-g; Chen, Chun-Ting; Chen, Bor-Yann; Chen, Yue-Wen								Revealing Pesticide Residues Under High Pesticide Stress in Taiwan's Agricultural Environment Probed by Fresh Honey Bee (Hymenoptera: Apidae) Pollen								JOURNAL OF ECONOMIC ENTOMOLOGY				110	5			1947	1958		10.1093/jee/tox195			OCT 2017	2017										0							WOS:000412587800001		
J	Palmer-Young, Evan C.; Tozkar, Cansu O.; Schwarz, Ryan S.; Chen, Yanping; Irwin, Rebecca E.; Adler, Lynn S.; Evans, Jay D.								Nectar and Pollen Phytochemicals Stimulate Honey Bee (Hymenoptera: Apidae) Immunity to Viral Infection								JOURNAL OF ECONOMIC ENTOMOLOGY				110	5			1959	1972		10.1093/jee/tox193			OCT 2017	2017										5							WOS:000412587800002		
J	O'Neal, Scott T.; Brewster, Carlyle C.; Bloomquist, Jeffrey R.; Anderson, Troy D.								Amitraz and its metabolite modulate honey bee cardiac function and tolerance to viral infection								JOURNAL OF INVERTEBRATE PATHOLOGY				149				119	126		10.1016/j.jip.2017.08.005			OCT 2017	2017										4							WOS:000411658400018		
J	Son, Sunwoong; Kim, Byungjoo; Ahn, Soenghee								Inspection of the Fragmentation Pathway for Thiamethoxam								MASS SPECTROMETRY LETTERS				8	3			65	68		10.5478/MSL.2017.8.3.65			SEP 2017	2017										0							WOS:000416436700004		
J	Grillone, Giacomo; Laurino, Daniela; Manino, Aulo; Porporato, Marco								Toxicity of thiametoxam on in vitro reared honey bee brood								APIDOLOGIE				48	5			635	643		10.1007/s13592-017-0506-6			SEP 2017	2017										2							WOS:000408739100007		
J	Ansari, Mohammad Javed; Al-Ghamdi, Ahmad; Nuru, Adgaba; Ahmed, Ashraf Mohamed; Ayaad, Tahany H.; Khan, Khalid Ali; Al-Waili, Noori								Diagnosis and molecular detection of Paenibacillus larvae, the causative agent of American foulbrood in honey bees in Saudi Arabia								INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE				37	3			137	148		10.1017/S1742758417000133			SEP 2017	2017										1							WOS:000407863900002		
J	O'Neal, Scott T.; Swale, Daniel R.; Anderson, Troy D.								ATP-sensitive inwardly rectifying potassium channel regulation of viral infections in honey bees								SCIENTIFIC REPORTS				7						8668	10.1038/s41598-017-09448-y			AUG 17 2017	2017										6							WOS:000407864400049		
